batch_id,copy_time_us,kernel_time_us
0,17.152,44.832
1,10.112,11.328
2,17.568,18.432
3,17.44,11.296
4,17.28,19.456
5,17.536,18.432
6,17.216,18.432
7,17.504,11.264
8,17.792,18.432
9,18.272,17.408
10,17.6,18.4
11,17.408,18.432
12,17.28,18.432
13,17.536,18.432
14,18.304,17.088
15,17.088,11.296
16,18.432,17.088
17,17.568,18.432
18,17.472,18.432
19,9.984,18.048
20,17.472,18.432
21,17.632,18.432
22,17.504,18.4
23,17.664,18.432
24,17.248,15.424
25,17.664,18.4
26,17.824,17.408
27,18.144,18.432
28,17.76,18.432
29,10.272,18.592
30,17.664,18.4
31,17.92,18.432
32,17.472,18.432
33,18.336,17.088
34,17.344,18.432
35,17.504,18.432
36,17.536,18.432
37,18.464,18.112
38,17.344,18.4
39,10.112,18.304
40,17.056,18.432
41,17.664,18.432
42,17.152,18.4
43,18.24,18.24
44,17.792,18.4
45,17.728,18.432
46,17.44,18.4
47,17.6,18.432
48,17.472,18.432
49,18.272,18.432
50,17.28,18.4
51,16.8,11.296
52,17.184,18.432
53,17.568,18.432
54,17.504,18.432
55,17.632,18.432
56,9.984,18.304
57,17.632,18.432
58,17.536,18.208
59,10.048,18.048
60,17.344,18.4
61,18.208,18.4
62,17.216,18.432
63,17.568,18.464
64,17.504,18.432
65,18.144,18.4
66,17.76,17.376
67,17.696,18.4
68,17.6,18.432
69,17.504,18.4
70,18.016,17.408
71,17.632,18.4
72,10.304,18.848
73,17.6,18.432
74,17.824,18.432
75,17.76,18.304
76,17.632,18.304
77,17.632,18.4
78,17.984,17.408
79,17.728,18.208
80,17.472,18.432
81,17.824,18.432
82,17.632,18.432
83,17.472,18.4
84,17.408,18.4
85,17.504,18.304
86,18.4,17.088
87,17.76,18.304
88,17.504,18.4
89,17.984,18.432
90,17.856,18.4
91,17.536,18.432
92,17.44,18.432
93,9.952,18.656
94,17.792,18.4
95,17.312,18.4
96,17.92,18.176
97,17.6,18.4
98,17.504,18.432
99,17.568,18.432
100,17.504,18.4
101,18.144,18.336
102,17.216,18.4
103,17.632,18.4
104,17.28,18.4
105,17.728,18.432
106,10.496,18.944
107,17.92,18.432
108,17.6,18.432
109,17.92,18.432
110,18.08,17.408
111,17.408,18.4
112,17.376,18.432
113,18.176,18.4
114,17.6,18.4
115,17.568,18.4
116,17.408,18.4
117,17.632,18.432
118,16.896,11.264
119,17.504,18.432
120,17.504,18.432
121,10.208,18.496
122,17.568,18.432
123,17.408,18.464
124,17.376,18.432
125,18.4,18.112
126,17.568,18.432
127,17.984,18.4
128,18.24,17.088
129,18.08,18.432
130,17.472,18.4
131,17.056,11.296
132,17.216,18.432
133,17.632,18.4
134,17.568,18.432
135,17.536,18.4
136,17.44,18.432
137,18.144,18.432
138,17.504,18.4
139,18.176,17.408
140,17.824,18.4
141,17.696,18.432
142,17.344,18.432
143,17.696,18.464
144,17.312,18.4
145,18.56,17.088
146,16.928,18.4
147,17.664,18.4
148,17.472,18.464
149,17.568,18.432
150,17.216,18.4
151,9.952,17.952
152,17.408,18.336
153,17.888,18.4
154,17.344,18.208
155,10.176,18.496
156,17.408,18.432
157,17.536,18.4
158,17.696,18.432
159,17.536,18.432
160,17.504,18.4
161,17.664,18.432
162,17.312,18.432
163,17.376,18.4
164,17.44,18.432
165,17.536,18.4
166,17.536,18.4
167,10.112,17.824
168,17.728,18.432
169,10.272,18.56
170,16.896,11.264
171,10.08,18.304
172,17.184,17.376
173,17.44,18.432
174,17.664,18.4
175,17.536,11.264
176,17.984,18.432
177,10.112,18.368
178,18.56,17.12
179,18.432,17.376
180,17.312,18.432
181,18.016,18.432
182,17.44,18.4
183,17.568,18.432
184,17.44,18.4
185,17.6,17.408
186,10.272,17.088
187,10.4,16.928
188,10.304,11.52
189,10.432,11.392
190,10.208,11.488
191,10.368,11.616
192,10.24,11.584
193,17.728,18.432
194,9.984,18.816
195,9.888,17.696
196,17.696,19.168
197,18.24,18.432
198,10.08,17.504
199,10.496,17.152
200,16.992,18.464
201,17.664,18.4
202,10.016,18.72
203,10.432,18.976
204,18.048,17.408
205,9.984,18.976
206,17.504,18.432
207,17.952,18.432
208,17.536,18.432
209,17.696,18.432
210,17.536,18.432
211,17.664,18.4
212,9.888,18.336
213,17.76,18.368
214,18.208,17.408
215,10.016,18.752
216,17.312,18.4
217,18.688,18.112
218,17.44,18.4
219,17.44,18.368
220,17.76,18.432
221,17.504,18.432
222,17.312,18.432
223,17.536,18.432
224,17.472,18.432
225,17.6,18.4
226,17.344,18.4
227,17.664,18.368
228,9.92,18.816
229,9.92,17.984
230,17.824,18.112
231,18.208,18.4
232,18.08,17.088
233,17.472,18.4
234,17.696,17.408
235,17.472,18.432
236,17.984,17.408
237,17.568,11.232
238,18.016,18.432
239,10.112,18.112
240,17.44,18.4
241,18.016,18.4
242,17.504,18.432
243,17.568,18.4
244,17.504,18.432
245,17.6,18.432
246,17.472,18.432
247,17.632,18.432
248,17.632,18.432
249,17.6,18.272
250,17.024,11.264
251,17.184,18.432
252,17.952,18.4
253,17.632,18.4
254,17.408,18.4
255,17.824,18.4
256,17.408,18.4
257,17.568,18.432
258,18.176,17.088
259,18.048,18.432
260,17.472,18.432
261,10.144,18.592
262,10.272,19.008
263,17.952,18.4
264,17.472,18.432
265,12,11.712
266,17.152,18.432
267,17.344,18.432
268,17.408,18.4
269,17.44,18.4
270,17.216,18.432
271,18.048,18.4
272,17.472,18.432
273,17.536,18.464
274,18.24,17.088
275,17.568,18.432
276,16.992,18.4
277,17.568,18.432
278,17.728,18.432
279,18.016,18.432
280,17.824,17.408
281,17.6,11.264
282,17.216,18.432
283,17.504,18.432
284,17.472,18.464
285,17.472,18.464
286,18.016,18.4
287,17.664,18.4
288,17.536,18.4
289,17.408,18.432
290,17.408,18.432
